name,name_original,amenity,shop,tourism,@lat,@lon,final_category
Bank Alfalah,بینک الفلاح,bank,,,24.8576313,67.0275976,Services
UBL - Clifton 4,UBL - Clifton 4,bank,,,24.8026937,67.0309886,Services
Muslim Commercial Bank,Muslim Commercial Bank,bank,,,24.8577419,67.0275222,Services
shakoor & co,shakoor & co,,outdoor,,24.9032641,66.9768186,Other / Unspecified
MCB Bank,ایم سی بی بینک,bank,,,24.8604758,67.0276455,Services
Shell Petrol Pump & Service Station,Shell Petrol Pump & Service Station,fuel,,,24.8484866,67.0220011,Transport & Vehicles
Silkbank,Silkbank,bank,,,24.8634211,67.0247774,Services
Bank al habib,Bank al habib,bank,,,24.8603289,67.0274632,Services
Pakistan Post,Pakistan Post,post_office,,,24.8598823,67.0265322,Services
Askari Bank,عسکری بینک,bank,,,24.8634136,67.0245601,Services
Meezan Bank,میزان بینک,bank,,,24.8582455,67.0296248,Services
Shell,شیل,fuel,,,24.8455567,66.9967964,Transport & Vehicles
Total,ٹوٹل,fuel,,,24.8415811,67.1332299,Transport & Vehicles
Shaukat Khanum Memorial Cancer Hospital-Phase 7,Shaukat Khanum Memorial Cancer Hospital-Phase 7,hospital,,,24.8253838,67.0771614,Healthcare
Services Mess Navy,Services Mess Navy,,,guest_house,24.851222,67.0305037,Accommodation
Gandhara Nissan,Gandhara Nissan,,car,,24.8145231,67.0292224,Transport & Vehicles
Madina Masjid,Madina Masjid,community_centre,,,24.8851936,67.0832984,Religious & Community
Adbul Kids University,Adbul Kids University,university,,,24.8795828,67.1466366,Education
Karachi Kids University,Karachi Kids University,university,,,24.8793111,67.1417513,Education
Usman Grammar School,Usman Grammar School,school,,,24.8767705,67.1381434,Education
Sir Syed School,Sir Syed School,school,,,24.8849292,67.1321762,Education
Iqra Computer Training Trust,Iqra Computer Training Trust,university,,,24.8825088,67.1407445,Education
Food Finder,Food Finder,fast_food,,,24.9381026,67.1484225,Food & Dining
National Food,National Food,fast_food,,,24.910717,66.9755315,Food & Dining
Diamond Jewellers.,Diamond Jewellers.,,jewelry,,24.8275971,67.0380676,Shopping & Retail
Diamond Jewellers.,Diamond Jewellers.,,jewelry,,24.8564425,67.0281052,Shopping & Retail
Kababjees,Kababjees,restaurant,,,24.883502,67.060199,Food & Dining
Akhtar Eye Hospital,Akhtar Eye Hospital,hospital,,,24.9225212,67.0922155,Healthcare
Programmers Girls School,Programmers Girls School,school,,,24.9212275,67.0927407,Education
Baji Jan Pakwan,Baji Jan Pakwan,restaurant,,,24.9219465,67.0924821,Food & Dining
Hayaat ul Islam,Hayaat ul Islam,place_of_worship,,,24.9183082,67.094928,Religious & Community
Sadiqain Hall,Sadiqain Hall,community_centre,,,24.9180122,67.096202,Religious & Community
Mami Home,مامی ہوم,,,guest_house,24.8945614,67.0164599,Accommodation
Masjid Akhiyar,Masjid Akhiyar,place_of_worship,,,24.9120972,67.0898547,Religious & Community
Medhi Manji Lab,Medhi Manji Lab,pharmacy,,,24.9235867,67.0901395,Healthcare
Al Nisa Flower,Al Nisa Flower,community_centre,,,24.9244067,67.0920769,Religious & Community
Bank Al Habib,بينک الحبيب,bank,,,24.9239767,67.092332,Services
Meezan Bank,میزان بینک,bank,,,24.9238206,67.0924634,Services
National Bank,National Bank,bank,,,24.9236606,67.0926071,Services
Bank Dubai Islami,Bank Dubai Islami,bank,,,24.9232366,67.0928832,Services
Total,ٹوٹل,fuel,,,24.9203678,67.0996706,Transport & Vehicles
Sindh Bank,سندھ بینک,bank,,,24.9234372,67.0919997,Services
Habib Metro Bank,Habib Metro Bank,bank,,,24.9213858,67.0936929,Services
Imam ibn Timia,Imam ibn Timia,place_of_worship,,,24.9208519,67.0994721,Religious & Community
CNG Station,CNG Station,fuel,,,24.9255964,67.0909384,Transport & Vehicles
Aamna,Aamna,place_of_worship,,,24.9174492,67.0906679,Religious & Community
Al Nasar,Al Nasar,,medical_supply,,24.922205,67.0884281,Healthcare
United Bank Limited,یونائیٹڈ بینک لمیٹڈ,bank,,,24.922433,67.0887393,Services
Meezan Bank Gulshan Block-2 Branch,Meezan Bank Gulshan Block-2 Branch,bank,,,24.9226624,67.0890468,Services
MCB Gulshan Chowrangi Branch,MCB Gulshan Chowrangi Branch,bank,,,24.9228216,67.0892741,Services
Ashraf Al Madaris,Ashraf Al Madaris,place_of_worship,,,24.9229969,67.0886187,Religious & Community
KDA Market,KDA Market,,supermarket,,24.9267958,67.0944384,Shopping & Retail
Trinity Girls College,Trinity Girls College,college,,,24.8522297,67.0245585,Education
DGTR,DGTR,,,guest_house,24.846669,66.9923923,Accommodation
PAF Hospital Faisal,PAF Hospital Faisal,clinic,,,24.8901597,67.1159743,Healthcare
Sultan Majid,Sultan Majid,place_of_worship,,,24.9056232,67.1184028,Religious & Community
Orchid Lawn,Orchid Lawn,community_centre,,,24.9191423,67.0723404,Religious & Community
Haroon CNG & Car Workshop,Haroon CNG & Car Workshop,,car_repair,,24.8596962,67.0472425,Transport & Vehicles
bashee hm,bashee hm,,butcher,,24.7973601,67.0587862,Food & Dining
